,species,authors,citation,year_of_publication,year_of_data_collection,month,state,location,gps_coordinates,lat,lon,scale,urban,habitat,density_per_km2,highest_density_multiple_records,range_av_per_km2,av_rainfall,annual_rain_at_time_of_study,baited,dingoes_present,method,confidence_in_density_estimate,notes,notes2,time,years,ninoa,month_int,r_index,worldclim
83,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Sep,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.05,,0.6,160,,no,,spotlighting,High,,,1992,,,9,1992-09,148.735717773438
84,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Nov,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.05,,0.6,160,,no,,spotlighting,High,,,1992,,,11,1992-11,166.828582763672
85,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Dec,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.25,,0.6,160,,no,,spotlighting,High,,,1992,,,12,1992-12,195.593368530273
86,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,May,WA,Heirisson Prong Zone 3 South of fence,"26""10'S, 113""23'E",-26.39556,113.449631,1000km2,No,Coastal heath,0.07,,0.07,,,no,,spotlighting,High,"Zone 3 (high cat, high fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,5,1992-05,100.040130615234
87,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Aug,WA,Heirisson Prong Zone 3 South of fence,"26""10'S, 113""23'E",-26.39556,113.449631,1000km2,No,Coastal heath,0.03,,0.03,,,no,,spotlighting,High,"Zone 3 (high cat, high fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,8,1992-08,261.091064453125
88,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Mar,WA,Heirisson Prong Zone 2 Useless Loop,"26""10'S, 113""23'E",-26.210895,113.402939,200km2,No,Coastal heath,0.01,,0.01,,,yes,,spotlighting,High,"Zone 2 (high cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,3,1992-03,41.7450256347656
89,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Jun,WA,Heirisson Prong Zone 2 Useless Loop,"26""10'S, 113""23'E",-26.210895,113.402939,200km2,No,Coastal heath,0.01,,0.01,,,yes,,spotlighting,High,"Zone 2 (high cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,6,1992-06,175.118499755859
90,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Sep,WA,Heirisson Prong Zone 2 Useless Loop,"26""10'S, 113""23'E",-26.210895,113.402939,200km2,No,Coastal heath,0.02,,0.02,,,yes,,spotlighting,High,"Zone 2 (high cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,9,1992-09,233.74739074707
91,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Dec,WA,Heirisson Prong Zone 2 Useless Loop,"26""10'S, 113""23'E",-26.210895,113.402939,200km2,No,Coastal heath,0.01,,0.01,,,yes,,spotlighting,High,"Zone 2 (high cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,12,1992-12,164.818878173828
92,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Feb,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,2,1992-02,37.5242004394531
93,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,May,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,5,1992-05,99.4085159301758
94,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Jul,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,7,1992-07,170.928573608398
95,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Nov,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,11,1992-11,181.200180053711
96,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1992,Dec,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1992,,,12,1992-12,146.388885498047
97,fox,"Dickman, unpub data",unpub data,,1992,Apr,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0.11,,,,,no,yes,spotlighting,High,,10,1992,,,4,1992-04,153.169372558594
98,fox,"Dickman, unpub data",unpub data,,1992,Jun,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0.1,,,,,no,yes,spotlighting,High,,11,1992,,,6,1992-06,173.503890991211
99,fox,"Dickman, unpub data",unpub data,,1992,Aug,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0.19,,,,,no,yes,spotlighting,High,,12,1992,,,8,1992-08,156.372482299805
